APPROX_EVENT_DAY,Frequency,EVENT_AGE,Frequency,ATC,Frequency,VNR,Frequency,Substance,Frequency,MedicineName,Frequency,PackageSize,Frequency,DDDPerPack,Frequency,Dosage,Frequency,DosageUnit,Frequency,MERGED_SOURCE,Frequency,OMOP_CONCEPT_ID,Frequency,NOMESCO,Frequency,OMOP_CONCEPT_NAME,Frequency,AdministrationRoute,Frequency
2022-01-27,56,31.96,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,56,57.814,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,56,58.624,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,56,56.831,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,56,52.171,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,56,59.446,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-20,56,43.24,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-11,56,54.123,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,56,38.928,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22,56,37.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-05,56,68.793,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,56,30.432,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-26,56,55.388,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-24,56,44.647,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21,56,53.91,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-02,56,40.393,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-06,56,55.47,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-11,56,45.77,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,56,37.912,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,56,57.05,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17,56,47.462,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-15,56,67.52,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-05,56,38.67,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,56,39.694,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22,56,28.19,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14,56,47.448,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,55,33.129,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05,55,38.41,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,55,37.622,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,55,53.11,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,55,63.243,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,55,52.609,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,55,46.832,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,55,57.042,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02,55,49.228,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,55,34.596,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-06,55,41.783,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-21,55,51.394,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-15,55,56.409,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,55,55.848,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-30,55,58.89,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04,55,34.325,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-27,55,61.25,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,55,38.254,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-03,55,36.428,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,55,35.634,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-13,55,56.204,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-15,55,51.06,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-27,55,51.09,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-08,55,64.443,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,55,41.31,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-20,55,36.683,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-29,55,32.702,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,55,63.03,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-08,55,58.471,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,55,37.496,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,55,42.985,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,55,18.3,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-10,55,34.09,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22,55,60.579,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,55,71.12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,55,32.34,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-03,55,42.75,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15,55,65.675,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,54,44.02,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-02,54,42.69,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,54,31.163,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-08,54,42.52,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-04,54,52.91,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,54,46.364,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-21,54,46.84,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,54,34.93,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,54,55.273,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,54,48.07,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,54,27.494,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-03,54,34.78,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,54,35.191,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,54,46.52,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,54,47.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,54,51.629,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-16,54,44.705,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-05,54,30.785,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-28,54,54.89,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10,54,39.872,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-09,54,51.645,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,54,17.512,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-05,54,66.89,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-28,54,51.635,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,54,39.36,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-13,54,74.37,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22,54,52.16,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10,54,49.77,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-06,54,56.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,54,52.24,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-20,54,56.9,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,54,38.306,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-12,54,39.18,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,54,50.95,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,54,49.151,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,54,49.51,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,54,44.921,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,54,34.282,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,54,52.42,12,,,,,,,,,,,,,,,,,,,,,,,,,,
