DRUG,Frequency,DRUG_DEF,Frequency,VACCINE_PROTECTION,Frequency,PRODUCT_NUMBER,Frequency,METHOD,Frequency,INJECTION_SITE,Frequency,COVID,Frequency,VACCINATION_AGE,Frequency,APPROX_VACCINATION_DATE,Frequency
,,,,,,,,,,,,,,67.74,1455,2020-11-17,4152
,,,,,,,,,,,,,,65.53,1455,2020-11-04,4151
,,,,,,,,,,,,,,75.57,1455,2018-11-13,4143
,,,,,,,,,,,,,,68.39,1455,2022-12-01,4139
,,,,,,,,,,,,,,66.42,1455,2021-07-23,4125
,,,,,,,,,,,,,,68.17,1455,2021-05-09,4118
,,,,,,,,,,,,,,70.82,1454,2018-11-10,4109
,,,,,,,,,,,,,,67.14,1454,2021-07-27,4101
,,,,,,,,,,,,,,75.24,1454,2024-11-19,4094
,,,,,,,,,,,,,,66.73,1454,2021-04-13,4092
,,,,,,,,,,,,,,68.14,1454,2020-11-18,4087
,,,,,,,,,,,,,,67.4,1453,2021-05-02,4076
,,,,,,,,,,,,,,72.43,1453,2020-11-08,4066
,,,,,,,,,,,,,,74.18,1453,2021-07-28,4056
,,,,,,,,,,,,,,74.21,1453,2022-12-02,4053
,,,,,,,,,,,,,,73.28,1453,2021-04-18,4053
,,,,,,,,,,,,,,68.48,1453,2020-11-03,4044
,,,,,,,,,,,,,,68.05,1453,2020-11-15,4041
,,,,,,,,,,,,,,74.43,1452,2021-04-12,4029
,,,,,,,,,,,,,,70.09,1452,2022-01-23,4021
,,,,,,,,,,,,,,65.58,1452,2021-07-29,4016
,,,,,,,,,,,,,,73.77,1452,2017-11-08,4003
,,,,,,,,,,,,,,73.87,1452,2018-11-08,4002
,,,,,,,,,,,,,,73.26,1452,2017-11-11,3996
,,,,,,,,,,,,,,71.8,1452,2021-04-08,3991
,,,,,,,,,,,,,,75.61,1451,2021-07-26,3977
,,,,,,,,,,,,,,75.5,1451,2024-10-07,3971
,,,,,,,,,,,,,,65.43,1450,2023-10-29,3970
,,,,,,,,,,,,,,66.56,1450,2019-11-28,3969
,,,,,,,,,,,,,,72.56,1449,2016-11-16,3954
,,,,,,,,,,,,,,69.34,1449,2023-12-08,3948
