BIRTH_YEAR,Frequency,APPROX_BIRTH_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
2009,6070,,,,,,,,,,,26.25,357,48,626,,,,,,,,,,,6582B,182,O993,200,O420,114,,,,,,,,,,,,,,,O469,229,Z359,145,O814,97,O814,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5939,,,,,,,,,,,26.98,357,89,552,,,,,,,,,,,6533B,166,O300,198,O688,112,,,,,,,,,,,,,,,Z34,228,6440A,143,R103,91,O100,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,5843,,,,,,,,,,,25.7,356,93,520,,,,,,,,,,,O365,159,O249,180,O100,112,,,,,,,,,,,,,,,V230A,207,O996,143,O8210,86,O420,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5780,,,,,,,,,,,28.2,356,100,501,,,,,,,,,,,O750,154,O420,179,O681,111,,,,,,,,,,,,,,,O814,206,V220A,137,E669,85,O8210,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,5761,,,,,,,,,,,25.97,355,94,484,,,,,,,,,,,6450B,153,O8211,178,O421,109,,,,,,,,,,,,,,,O8210,202,O40,132,O820,84,O991,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,5704,,,,,,,,,,,25.9,355,47,462,,,,,,,,,,,6660A,148,O648,177,O641,108,,,,,,,,,,,,,,,6467A,202,O469,128,O680,82,O680,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,5578,,,,,,,,,,,27.4,355,98,447,,,,,,,,,,,O730,146,O714,175,O300,105,,,,,,,,,,,,,,,Z359,197,O814,120,O996,81,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,5456,,,,,,,,,,,29.51,355,96,400,,,,,,,,,,,6610B,142,O621,159,O9989,99,,,,,,,,,,,,,,,Z875,196,O8210,114,O420,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,5336,,,,,,,,,,,29.22,355,97,382,,,,,,,,,,,O429,139,O266,159,O730,94,,,,,,,,,,,,,,,O3000,194,Z350,113,O991,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5191,,,,,,,,,,,29.08,355,91,374,,,,,,,,,,,6542B,135,O140,159,O369,92,,,,,,,,,,,,,,,O410,192,O991,111,Z321,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,5178,,,,,,,,,,,28.18,355,105,342,,,,,,,,,,,O13,135,6700A,157,O621,91,,,,,,,,,,,,,,,6466A,187,O479,105,O2688,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5079,,,,,,,,,,,28.07,355,46,295,,,,,,,,,,,Z340,135,O683,152,E039,90,,,,,,,,,,,,,,,O9989,186,O2688,101,Z350,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,5002,,,,,,,,,,,27.9,354,110,274,,,,,,,,,,,O682,132,O9989,151,O8211,86,,,,,,,,,,,,,,,O992,185,6488A,99,O300,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4950,,,,,,,,,,,28.23,354,45,257,,,,,,,,,,,O240,129,O691,149,O722,84,,,,,,,,,,,,,,,O141,177,O420,94,Z392,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,4747,,,,,,,,,,,27.64,353,99,241,,,,,,,,,,,O300,123,O141,143,O266,83,,,,,,,,,,,,,,,6480A,173,O3000,91,O990,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,4681,,,,,,,,,,,26.3,353,102,231,,,,,,,,,,,O410,114,O842,134,O665,81,,,,,,,,,,,,,,,6441A,163,O359,91,O469,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,4311,,,,,,,,,,,28.12,353,103,214,,,,,,,,,,,E6601,107,O992,130,O140,79,,,,,,,,,,,,,,,O209,151,V230A,88,J459,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,3862,,,,,,,,,,,28.15,353,104,210,,,,,,,,,,,6531A,106,O722,126,O470,78,,,,,,,,,,,,,,,O996,143,O631,86,O359,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3786,,,,,,,,,,,25.87,352,115,190,,,,,,,,,,,O421,106,O470,123,O682,75,,,,,,,,,,,,,,,O359,140,O343,84,O631,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,3494,,,,,,,,,,,27.11,352,107,163,,,,,,,,,,,O621,104,O757,123,E669,69,,,,,,,,,,,,,,,O420,136,O369,82,O440,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,3086,,,,,,,,,,,29.16,352,108,163,,,,,,,,,,,O648,102,O665,122,O141,67,,,,,,,,,,,,,,,O991,135,O994,81,O322,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,2920,,,,,,,,,,,25.96,351,106,156,,,,,,,,,,,O411,100,6500B,122,R875,67,,,,,,,,,,,,,,,Z718,135,O440,80,O267,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,2632,,,,,,,,,,,25.11,351,101,147,,,,,,,,,,,Z348,100,R875,119,O996,64,,,,,,,,,,,,,,,O40,127,O322,78,O421,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,2221,,,,,,,,,,,29.27,351,120,145,,,,,,,,,,,O654,97,O620,118,O620,63,,,,,,,,,,,,,,,6522A,124,O209,75,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1954,,,,,,,,,,,28.59,351,109,144,,,,,,,,,,,O249,97,6563B,114,Z348,63,,,,,,,,,,,,,,,6450A,121,Z354,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1642,,,,,,,,,,,28.38,351,44,119,,,,,,,,,,,Z358,95,Z372,112,Z340,62,,,,,,,,,,,,,,,6420X,120,O820,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1425,,,,,,,,,,,29.07,350,112,112,,,,,,,,,,,6598B,93,Z348,107,O618,61,,,,,,,,,,,,,,,O820,107,O267,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1143,,,,,,,,,,,26.48,350,113,109,,,,,,,,,,,6528B,92,O654,106,O842,57,,,,,,,,,,,,,,,O241,107,O995,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,962,,,,,,,,,,,28.69,350,118,106,,,,,,,,,,,O364,92,6522B,103,O654,57,,,,,,,,,,,,,,,O2688,106,O990,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,878,,,,,,,,,,,25.08,349,116,95,,,,,,,,,,,O620,91,O149,101,O752,56,,,,,,,,,,,,,,,O756,104,6423A,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,715,,,,,,,,,,,27.28,349,111,92,,,,,,,,,,,6522A,91,O100,95,O40,56,,,,,,,,,,,,,,,O479,102,Z018,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,562,,,,,,,,,,,29.47,349,114,92,,,,,,,,,,,O140,86,6660A,92,O991,53,,,,,,,,,,,,,,,O990,98,O141,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,454,,,,,,,,,,,29.38,349,117,83,,,,,,,,,,,6620B,84,6440B,91,O757,53,,,,,,,,,,,,,,,O440,96,Z364,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,304,,,,,,,,,,,29.3,349,125,82,,,,,,,,,,,6600B,81,O801,89,O683,51,,,,,,,,,,,,,,,6440B,95,E669,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,185,,,,,,,,,,,26.08,349,43,81,,,,,,,,,,,O702,80,6542B,88,O660,50,,,,,,,,,,,,,,,O421,94,Z392,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,103,,,,,,,,,,,28.72,349,42,77,,,,,,,,,,,6524B,79,O618,87,List truncated...,,,,,,,,,,,,,,,,O210,93,O121,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,77,,,,,,,,,,,28.49,349,130,53,,,,,,,,,,,6660B,77,O848,84,,,,,,,,,,,,,,,,,Z350,93,O283,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
