SOURCE	CODE1	CODE2	CODE3	vocabulary	n_events	n_patients
CANC	C509	9120	3	canc	9	9
CANC	C509	9680	3	canc	12	12
CANC	C510	8070	3	canc	23	23
CANC	C510	8090	3	canc	12	11
CANC	C511	8070	3	canc	21	21
CANC	C519	8070	2	canc	22	22
CANC	C519	8070	3	canc	85	85
CANC	C519	8071	2	canc	11	11
CANC	C519	8077	2	canc	84	84
CANC	C519	8090	3	canc	18	18
CANC	C519	8542	3	canc	13	13
CANC	C519	8720	3	canc	8	8
CANC	C529	8070	3	canc	25	25
CANC	C529	8077	2	canc	68	68
CANC	C530	8070	3	canc	15	15
CANC	C530	8077	2	canc	11	11
CANC	C530	8140	2	canc	20	20
CANC	C530	8140	3	canc	34	34
CANC	C531	8070	3	canc	27	27
CANC	C531	8077	2	canc	112	112
CANC	C531	8140	2	canc	27	27
CANC	C531	8140	3	canc	9	9
CANC	C539	6666	0	canc	1201	1201
CANC	C539	8010	2	canc	14	14
CANC	C539	8010	3	canc	6	6
CANC	C539	8070	2	canc	591	591
CANC	C539	8070	3	canc	159	159
CANC	C539	8076	3	canc	46	46
CANC	C539	8077	2	canc	1619	1619
CANC	C539	8140	2	canc	110	110
CANC	C539	8140	3	canc	84	84
CANC	C539	8380	3	canc	6	6
CANC	C541	8010	3	canc	6	6
CANC	C541	8140	3	canc	35	35
CANC	C541	8310	3	canc	31	31
CANC	C541	8323	3	canc	7	7
CANC	C541	8380	2	canc	157	157
CANC	C541	8380	3	canc	1184	1184
CANC	C541	8441	3	canc	90	90
CANC	C541	8461	3	canc	9	9
CANC	C541	8930	3	canc	9	9
CANC	C541	8931	3	canc	18	18
CANC	C541	8980	3	canc	23	23
CANC	C542	8890	3	canc	24	24
CANC	C542	8980	3	canc	6	6
CANC	C549	8140	3	canc	9	9
CANC	C549	8380	3	canc	607	607
CANC	C549	8890	3	canc	38	38
CANC	C549	8980	3	canc	12	12
CANC	C559	8890	3	canc	9	9
CANC	C569	8000	3	canc	22	22
CANC	C569	8010	3	canc	16	16
CANC	C569	8140	3	canc	14	14
CANC	C569	8310	3	canc	69	69
CANC	C569	8380	3	canc	137	137
CANC	C569	8440	3	canc	14	14
CANC	C569	8441	3	canc	214	214
CANC	C569	8442	1	canc	240	240
CANC	C569	8460	3	canc	60	60
CANC	C569	8461	3	canc	280	280
CANC	C569	8470	3	canc	86	86
CANC	C569	8472	1	canc	154	154
CANC	C569	8480	3	canc	36	36
CANC	C569	8620	1	canc	78	78
CANC	C569	8620	3	canc	64	64
CANC	C569	8980	3	canc	11	11
CANC	C569	9060	3	canc	14	14
CANC	C569	9071	3	canc	8	8
CANC	C569	9080	1	canc	6	6
CANC	C569	9080	3	canc	11	11
CANC	C569	9110	3	canc	8	8
CANC	C570	8140	3	canc	8	8
CANC	C570	8380	3	canc	10	10
CANC	C570	8441	2	canc	12	12
CANC	C570	8441	3	canc	16	16
CANC	C570	8461	3	canc	107	107
CANC	C574	8461	3	canc	29	29
CANC	C579	8000	3	canc	6	6
CANC	C579	8140	3	canc	7	7
CANC	C579	8461	3	canc	24	24
CANC	C589	9100	3	canc	6	6
CANC	C601	8070	3	canc	29	29
CANC	C609	8070	3	canc	38	38
CANC	C619	8000	3	canc	104	104
CANC	C619	8010	3	canc	37	37
CANC	C619	8041	3	canc	10	10
CANC	C619	8140	2	canc	29	29
CANC	C619	8140	3	canc	14424	14424
CANC	C619	8148	2	canc	137	137
CANC	C621	9061	3	canc	37	37
CANC	C621	9085	3	canc	14	14
CANC	C629	9061	3	canc	191	191
CANC	C629	9063	3	canc	6	6
CANC	C629	9070	3	canc	41	41
CANC	C629	9071	3	canc	6	6
