EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,RESEPTISTATUS,Frequency,DIS_AMOUNT_CALC_TXT,Frequency,DIS_AMT_VALUE,Frequency,DIS_AMOUNT_TXT,Frequency,DIS_AMT_UNIT,Frequency,DELIVERY_FEE,Frequency,MED_EXCHANGED,Frequency,DOSE_DISTRIBUTION,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE1,Frequency,PRODUCT_CODE2,Frequency,PRODUCT_CODE3,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency
,,2023-08-21,188,,,,,,,3x100,426,280.0,154,,,,,16.75,641,,,,,B01AC04,1933,,,031796,1023,,,,,129,341,JANUVIA,1493,100 U/ml,1587
,,2023-11-05,187,,,,,,,2x30,423,4.3,139,,,,,9.86,638,,,,,N05AH02,1915,,,448447,1020,,,,,160,330,ARCOXIA,1477,7,5 mg,1540
,,2023-11-13,187,,,,,,,1X4,410,11.25,137,,,,,35.27,638,,,,,S01AA01,1911,,,007061,1008,,,,,211,326,ZOPINOX,1461,8 mg,1540
,,2022-06-02,187,,,,,,,1X5,405,32.0,135,,,,,6.49,635,,,,,M01AB05,1888,,,010966,1004,,,,,74,318,SPIRIVA RESPIMAT,1451,10_MG,1528
,,2022-06-29,187,,,,,,,1x98,397,72.0,123,,,,,8.31,631,,,,,R01AD09,1881,,,198582,1001,,,,,228,282,ROSUVASTATIN ORION,1449,7,5 MG,1515
,,2023-09-11,187,,,,,,,1x1X1000,386,800.0,121,,,,,15.95,629,,,,,N02AA05,1879,,,124105,1001,,,,,316,267,ESCITALOPRAM ACTAVIS,1438,4 MG,1513
,,2022-12-22,187,,,,,,,1x1X15,371,0.6,119,,,,,11.83,629,,,,,R03BB04,1837,,,107414,995,,,,,89,209,NASONEX,1429,4 mg,1485
,,2023-12-09,187,,,,,,,1X15,361,1.7,107,,,,,8.48,626,,,,,C07AA05,1815,,,554309,979,,,,,366,177,ROSUVASTATIN RATIOPHARM,1426,750 mg,1436
,,2023-12-20,187,,,,,,,3x1X28,354,2000.0,105,,,,,18.15,625,,,,,N06AB04,1772,,,050463,970,,,,,214,174,HYDREX SEMI,1408,8 MG,1425
,,2023-03-14,187,,,,,,,1x1X4,341,420.0,102,,,,,18.41,617,,,,,C03DA01,1760,,,518897,948,,,,,512,169,ATORVASTATIN RATIOPHARM,1382,5_MG,1418
,,2023-06-06,187,,,,,,,1x1X6,338,126.0,100,,,,,3.2,613,,,,,C09CA03,1751,,,547976,945,,,,,199,166,DESLORATADINE ACTAVIS,1299,2.5 MG,1379
,,2022-09-05,186,,,,,,,2X28,336,294.0,99,,,,,149.48,612,,,,,M04AA01,1749,,,030627,942,,,,,546,160,APURIN SANDOZ,1283,800 mg,1371
,,2022-10-05,186,,,,,,,2x1X28,336,91.0,87,,,,,20.51,610,,,,,J01AA02,1744,,,402859,941,,,,,547,160,MONTELUKAST ORION,1279,50 MIKROG/ANNOS,1353
,,2022-06-23,186,,,,,,,1X5X3,323,0.8,84,,,,,1.34,600,,,,,R01AD58,1730,,,451971,939,,,,,108,142,OMEPRAZOL RATIOPHARM,1263,0,4 mg,1336
,,2023-09-12,186,,,,,,,1X3X60,319,75.0,78,,,,,1.02,599,,,,,G04BD12,1677,,,085506,932,,,,,401,135,VI-SIBLIN,1238,500MG/10MCG,1326
,,2020-02-21,186,,,,,,,2x1X60,311,1500.0,77,,,,,8.35,596,,,,,N06DX01,1672,,,127235,922,,,,,18,134,SYMBICORT TURBUHALER,1235,0,5 mg,1314
,,2022-12-08,186,,,,,,,3x60,308,270.0,73,,,,,12.25,593,,,,,N06AX21,1642,,,005145,917,,,,,93,126,SERETIDE DISKUS,1227,400 mg,1310
,,2023-03-28,186,,,,,,,3X30,305,11.0,70,,,,,26.79,592,,,,,N02AE01,1612,,,082685,914,,,,,313,115,OZEMPIC,1217,200 mg,1278
,,2022-11-25,186,,,,,,,3x1X60,301,160.0,64,,,,,4.67,591,,,,,N05AH03,1595,,,071521,907,,,,,784,112,VENTOLINE EVOHALER,1204,20_MG,1275
,,2023-05-26,186,,,,,,,1x3X60,299,450.0,63,,,,,9.27,583,,,,,A10AB05,1583,,,409927,899,,,,,280,111,DIAPAM,1196,80 mg,1255
,,2022-06-16,185,,,,,,,2x5X3,286,2.5,63,,,,,10.89,581,,,,,G04CA52,1562,,,494371,893,,,,,526,108,SALAZOPYRIN EN,1149,80 MG,1252
,,2022-12-07,185,,,,,,,1x30,284,2.4,61,,,,,15.63,581,,,,,N05BA01,1527,,,069102,892,,,,,267,99,DIOVAN,1145,250 MG,1231
,,2023-04-29,185,,,,,,,1x1X25,283,224.0,59,,,,,6.5,578,,,,,A07EC02,1523,,,460295,873,,,,,495,98,TAMSUMIN,1144,60 mg,1225
,,2023-03-27,185,,,,,,,2X50,277,475.0,54,,,,,9.05,576,,,,,M01AE02,1521,,,402083,864,,,,,126,97,CANDEXETIL,1141,60 MG,1174
,,2023-03-23,185,,,,,,,1X84,271,1.6,53,,,,,12.85,573,,,,,A10BK03,1515,,,047579,856,,,,,219,95,FLIXOTIDE DISKUS,1135,8/60 MG,1149
