SOURCE	CODE1	CODE2	CODE3	VOCAB	n_events	n_patients
INPAT	2030A	NA	NA	9	103	12
INPAT	20399	NA	NA	8	40	8
INPAT	20400	NA	NA	8	173	18
INPAT	2040A	NA	NA	9	782	37
INPAT	2041A	NA	NA	9	52	18
INPAT	2050A	NA	NA	9	82	13
INPAT	20899	NA	NA	8	18	11
INPAT	21000	NA	NA	8	19	16
INPAT	2100A	NA	NA	9	18	18
INPAT	21010	NA	NA	8	27	18
INPAT	2101A	NA	NA	9	13	11
INPAT	21020	NA	NA	8	138	120
INPAT	2102A	NA	NA	9	136	125
INPAT	21030	NA	NA	8	10	10
INPAT	21049	NA	NA	8	40	37
INPAT	2104A	NA	NA	9	19	18
INPAT	21070	NA	NA	8	9	6
INPAT	2107A	NA	NA	9	9	7
INPAT	2108A	NA	NA	9	7	7
INPAT	21099	NA	NA	8	9	9
INPAT	21110	NA	NA	8	31	24
INPAT	2111X	NA	NA	9	21	12
INPAT	21121	NA	NA	8	11	8
INPAT	21132	NA	NA	8	12	11
INPAT	21134	NA	NA	8	6	6
INPAT	21135	NA	NA	8	11	9
INPAT	21136	NA	NA	8	34	25
INPAT	21139	NA	NA	8	18	13
INPAT	2113A	NA	NA	9	22	16
INPAT	2113B	NA	NA	9	15	10
INPAT	2113C	NA	NA	9	44	25
INPAT	2113X	NA	NA	9	36	30
INPAT	21140	NA	NA	8	153	114
INPAT	2114A	NA	NA	9	21	20
INPAT	2114B	NA	NA	9	18	13
INPAT	2114C	NA	NA	9	39	22
INPAT	2114X	NA	NA	9	41	36
INPAT	21150	NA	NA	8	23	10
INPAT	2115X	NA	NA	9	18	15
INPAT	21160	NA	NA	8	6	6
INPAT	2118X	NA	NA	9	9	6
INPAT	21199	NA	NA	8	8	7
INPAT	21200	NA	NA	8	23	21
INPAT	21202	NA	NA	8	22	19
INPAT	2120A	NA	NA	9	62	48
INPAT	21210	NA	NA	8	108	46
INPAT	2121A	NA	NA	9	105	55
INPAT	21230	NA	NA	8	38	18
INPAT	2123A	NA	NA	9	47	36
INPAT	21250	NA	NA	8	13	11
INPAT	2125A	NA	NA	9	7	6
INPAT	21299	NA	NA	8	8	7
INPAT	21300	NA	NA	8	13	13
INPAT	21301	NA	NA	8	11	8
INPAT	21302	NA	NA	8	15	14
