EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,DOC_TYPE_CODE,Frequency,DOC_VERSION,Frequency,TYPE_1_AMOUNT,Frequency,TYPE_1_SIZE,Frequency,TYPE_2_AMOUNT,Frequency,TYPE_2_SIZE_UNIT,Frequency,TYPE_3_TIME,Frequency,TYPE_3_UNIT,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE,Frequency,RESEPTISTATUS,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency,RENEWAL_BAN,Frequency,MED_EXCHANGE_BAN,Frequency,DOSE_DISTRIBUTION,Frequency,ORGANIZATION_OID_SALATTU,Frequency,ERIKOISALA_CODE,Frequency
,,2022-11-16,164,,,,,,,,,,,40 g,505,,,,,,,,,B01AC06,1565,,,186376,765,,,148.0,172,COCILLANA,1232,5 mikrog/h,907,,,,,,,818FCD39FDDCA43D6155E74C03497E29,830,86153-722,298
,,2022-11-07,164,,,,,,,,,,,23 g (120 dos),500,,,,,,,,,A10AE04,1553,,,402859,764,,,93.0,165,EMCONCOR,1229,1 mg/g,897,,,,,,,3FAB1B57206582F7D86B967FE1730270,815,86511-410,298
,,2020-11-11,164,,,,,,,,,,,5 fol,495,,,,,,,,,M03BC01,1535,,,6203,751,,,784.0,161,AQUALAN L,1229,35/450 mg,895,,,,,,,D7B64050DC4B4DA9C06025C0D43A67D2,813,86111-592,297
,,2016-05-11,164,,,,,,,,,,,84 fol,489,,,,,,,,,J02AC01,1491,,,588994,745,,,265.0,159,AMORION COMP,1227,500/20 mg,886,,,,,,,7AB2667646D94EDF858AD0D87B88D0B2,801,86176-420,276
,,2023-11-30,163,,,,,,,,,,,25 g,489,,,,,,,,,R01AD08,1468,,,6222,732,,,184.0,155,FUCIDIN,1223,1/10 mg/g,858,,,,,,,30DEB98E06A3FEAC03C19C5FDD9CFE24,800,86155-350,261
,,2019-11-17,163,,,,,,,,,,,42 fol,479,,,,,,,,,N02CC01,1462,,,063219,726,,,151.0,147,PRIMASPAN,1211,1 %,837,,,,,,,3A09F463E54BE72ADD8F3114C6F2C731,788,86113-656,246
,,2019-11-19,163,,,,,,,,,,,24 kpl,477,,,,,,,,,A02BC01,1461,,,420914,717,,,829.0,145,FLIXONASE,1208,0,5/0,4 mg,812,,,,,,,3AF3016ED5CAFAF6E8E7AC0744264808,787,86111-620,245
,,2017-12-04,163,,,,,,,,,,,15 fol,469,,,,,,,,,R05CB06,1412,,,471557,708,,,527.0,144,VENLAFAXIN ORION,1187,47,5 mg,811,,,,,,,F84D8E29EDFF9E5EE288C89FE82401D2,780,50,235
,,2017-03-22,163,,,,,,,,,,,60 x 0,35 ml,465,,,,,,,,,R03DC03,1411,,,019874,701,,,126.0,140,MOTIFENE DUAL,1181,3,2 mg/ml,805,,,,,,,28EAF1685853585C61B7FCF39933DC3E,762,65,229
,,2023-09-27,163,,,,,,,,,,,12 kpl,453,,,,,,,,,A02BC03,1402,,,160763,688,,,271.0,136,AMOXIN,1174,160 mikrog/annos,779,,,,,,,4F9E0445FEAB4A51BCCC56F85E97787B,757,86111-595,228
