APPROX_BIRTH_DATE,Frequency,BL_YEAR,Frequency,BL_AGE,Frequency,SEX,Frequency,HEIGHT,Frequency,HEIGHT_AGE,Frequency,WEIGHT,Frequency,WEIGHT_AGE,Frequency,BMI,Frequency,SMOKE2,Frequency,SMOKE3,Frequency,SMOKE5,Frequency,CURRENT_SMOKER,Frequency,EVER_SMOKER,Frequency,SMOKE_AGE,Frequency,regionofbirth,Frequency,regionofbirthname,Frequency,movedabroad,Frequency,NUMBER_OF_OFFSPRING,Frequency,COHORT,Frequency,DEATH,Frequency,DEATH_APPROX_EVENT_DAY,Frequency,DEATH_FU_AGE,Frequency,AGE_AT_DEATH_OR_END_OF_FOLLOWUP,Frequency
,,,,58.15,138,,,,,58.67,53,124,466,59.98,54,29.8,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,75.86,136,75.86,136
,,,,58.48,138,,,,,50.5,53,123,431,60.92,54,22.4,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,56.51,135,56.51,135
,,,,64.43,138,,,,,57.89,53,44,419,59.02,54,21.3,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,57.24,135,57.24,135
,,,,56.88,138,,,,,57.99,53,126,415,60.04,54,30.0,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,69.66,135,69.66,135
,,,,55.65,138,,,,,51.92,53,121,404,60.12,54,21.9,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,77.53,135,77.53,135
,,,,64.36,137,,,,,51.1,53,140,377,65.58,53,21.0,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,75.03,135,75.03,135
,,,,64.51,137,,,,,56.18,53,128,369,58.02,53,27.9,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,134,67.0,134
,,,,57.72,137,,,,,50.38,53,135,369,58.09,53,21.1,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8,134,70.8,134
,,,,56.51,137,,,,,55.55,53,43,367,58.18,53,32.4,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,77.11,134,77.11,134
,,,,56.26,137,,,,,61.01,53,127,340,64.31,53,20.7,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,61.91,134,61.91,134
