DELIVERY_YEAR,Frequency,APPROX_DELIVERY_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
1969,7136,,,,,,,,,,,26.25,391,83,1112,183,131,,,,,,,,,O48,294,O411,266,O992,176,E039,85,,,,,,,,,,,,,O358,369,O358,226,O240,139,Z875,84,O479,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,7081,,,,,,,,,,,27.81,390,79,1079,184,83,,,,,,,,,6622B,273,O730,260,Z358,164,O750,83,,,,,,,,,,,,,6423A,361,Z875,208,Z875,136,O40,79,O100,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,7029,,,,,,,,,,,26.68,390,84,984,149,64,,,,,,,,,O683,261,O610,258,O714,162,O240,78,,,,,,,,,,,,,O2682,338,R104,201,O358,134,O266,78,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,6943,,,,,,,,,,,26.07,390,86,886,148,63,,,,,,,,,O610,258,O421,257,O993,160,O321,77,,,,,,,,,,,,,R104,329,O149,181,O2682,132,Z321,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,6902,,,,,,,,,,,25.18,389,88,833,185,54,,,,,,,,,O821,257,E6601,253,O700,158,O410,74,,,,,,,,,,,,,Z352,324,O140,175,O266,131,R103,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6865,,,,,,,,,,,27.02,389,87,814,List truncated...,,,,,,,,,,6531B,255,O369,253,O249,149,O9989,73,,,,,,,,,,,,,Z370,303,E039,170,O149,127,R104,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6814,,,,,,,,,,,26.17,389,95,774,,,,,,,,,,,O848,247,O410,248,Z372,142,E669,73,,,,,,,,,,,,,6400A,289,Z321,168,O40,118,O288,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6751,,,,,,,,,,,28.03,389,81,760,,,,,,,,,,,O688,237,Z358,244,O648,134,O714,64,,,,,,,,,,,,,Z34,287,R103,166,O479,117,Z359,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,6729,,,,,,,,,,,27.09,388,48,745,,,,,,,,,,,6534B,219,O681,238,O691,134,O421,57,,,,,,,,,,,,,O368,283,O680,164,O140,116,E669,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,6727,,,,,,,,,,,26.8,388,49,739,,,,,,,,,,,O235,213,O682,236,O610,131,O702,54,,,,,,,,,,,,,R103,261,O40,162,Z359,110,O991,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6671,,,,,,,,,,,26.91,388,92,682,,,,,,,,,,,6582B,194,O300,226,O420,122,O700,52,,,,,,,,,,,,,O993,261,O2682,158,R103,100,O100,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6551,,,,,,,,,,,28.49,388,89,598,,,,,,,,,,,6533B,177,O249,221,O681,121,O100,52,,,,,,,,,,,,,O469,244,Z359,151,O814,92,O814,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6475,,,,,,,,,,,25.96,387,93,558,,,,,,,,,,,O365,176,O993,219,O641,118,List truncated...,,,,,,,,,,,,,,V230A,226,O996,150,O996,91,O420,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,6457,,,,,,,,,,,25.91,387,100,556,,,,,,,,,,,O750,171,O714,198,O421,117,,,,,,,,,,,,,,,6467A,219,6440A,149,O420,90,O358,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,6333,,,,,,,,,,,27.52,387,47,538,,,,,,,,,,,6450B,168,O8211,196,O688,116,,,,,,,,,,,,,,,O410,214,V220A,145,E669,90,O990,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6271,,,,,,,,,,,29.51,387,94,532,,,,,,,,,,,6660A,161,O648,193,O100,115,,,,,,,,,,,,,,,O3000,213,O469,133,Z321,85,O996,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,6195,,,,,,,,,,,29.08,387,98,487,,,,,,,,,,,O730,157,O420,192,O300,113,,,,,,,,,,,,,,,O9989,208,O814,131,O680,83,O820,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,6091,,,,,,,,,,,28.2,387,96,446,,,,,,,,,,,6610B,153,O266,182,O9989,105,,,,,,,,,,,,,,,O814,207,Z350,126,O991,83,O8210,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,5940,,,,,,,,,,,25.38,386,97,412,,,,,,,,,,,O429,151,O621,174,O369,100,,,,,,,,,,,,,,,O8210,206,O991,124,O8210,78,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,5917,,,,,,,,,,,27.25,386,91,403,,,,,,,,,,,6542B,150,O691,168,O621,98,,,,,,,,,,,,,,,6466A,203,O8210,113,O2688,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5725,,,,,,,,,,,28.69,386,105,378,,,,,,,,,,,O682,144,O140,166,E039,97,,,,,,,,,,,,,,,Z359,203,O2688,109,O300,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5656,,,,,,,,,,,26.98,385,46,327,,,,,,,,,,,O13,143,6700A,163,O8211,96,,,,,,,,,,,,,,,O992,201,O479,108,O359,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,5641,,,,,,,,,,,29.87,385,45,301,,,,,,,,,,,Z340,142,O683,159,O730,96,,,,,,,,,,,,,,,Z875,195,O3000,105,O990,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,5609,,,,,,,,,,,28.12,385,110,291,,,,,,,,,,,O300,137,O9989,155,O266,91,,,,,,,,,,,,,,,O141,191,O359,104,Z350,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5535,,,,,,,,,,,27.43,384,99,278,,,,,,,,,,,O240,130,O141,153,O665,89,,,,,,,,,,,,,,,6480A,182,6488A,99,O469,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
